"LOCATION","LOCATION_label.fr","LOCATION_label.en","TRANSACT","TRANSACT_label.fr","TRANSACT_label.en","MEASURE","MEASURE_label.fr","MEASURE_label.en","TIME_FORMAT","TIME_FORMAT_label.en","UNIT","UNIT_label.en","POWERCODE","POWERCODE_label.en","obsTime","obsValue"
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2008",0.727348
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2009",0.750631
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2010",0.742766
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2011",0.748328
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2012",0.742583
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2013",0.750583
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2014",0.758469
"GBR","Royaume-Uni","United Kingdom","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling","0","Units","2015",0.755031
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2005",1.485996
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2006",1.456689
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2007",1.450896
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2008",1.433611
